"=HYPERLINK(""#'Indice'!A1"",""Indice"")"
Distribución de hogares según fuente de obtención de agua (2009-2024)
"(Porcentaje, hogares)"
Estimación
Categoría,Desagregación,2009,2011,2013,2015,2017,2020,2022,2024
Red pública con medidor propio,Nacional,90.3724811723998,87.0333514192331,86.102149848145,86.3748434648063,84.3732542778634,87.9568330512136,87.9386998715221,88.0130407069913
Red pública con medidor compartido,Nacional,2.71826286627566,6.47192742728664,8.11250429713139,8.26764646234008,9.26497156317651,5.6642075958746,5.24168512764835,5.06062363619743
Red pública sin medidor,Nacional,1.06150927577215,0.437867087860203,0.86210189372712,0.757449515184091,0.553528363951319,0.38317132866237,0.649748438610347,0.625660508477258
Pozo o noria,Nacional,3.77047275572372,3.63667820476456,3.30805768185008,2.9996078642714,3.52234407605921,3.18451350594908,3.1121335483824,3.36629208512578
"Río, vertiente, lago o estero",Nacional,1.55939215031486,1.5531903958772,0.93513698138491,0.994503717843807,1.24753160101001,1.07302440989611,1.20041274101387,1.17379242356091
Camión aljibe,Nacional,0.368004928465777,0.399223679425269,0.461571420584122,0.598840185899281,0.882487032254859,0.895538449689678,1.52727321571748,1.4903745129439
Otra fuente,Nacional,0.149876851048072,0.467761785553015,0.218477877177421,0.00710878965499147,0.15588308568467,0.842711658714514,0.330047057105414,0.270216126703393
Error estándar
Categoría,Desagregación,2009,2011,2013,2015,2017,2020,2022,2024
Red pública con medidor propio,Nacional,0.260378305252855,0.451624606563921,0.363534377819447,0.316609087503424,0.397595882996767,0.262620393055399,0.210330380143294,0.254758489337039
Red pública con medidor compartido,Nacional,0.130799941320482,0.326652056981291,0.32732182396776,0.245928945611056,0.331820185202442,0.16156839484559,0.145469744870404,0.12725332397131
Red pública sin medidor,Nacional,0.0995580274693264,0.0568632624162181,0.07562891478315,0.0504596335932189,0.0420580332499122,0.0339112265514971,0.051414813625068,0.0446647631022573
Pozo o noria,Nacional,0.143828063855369,0.244116756230339,0.133891104973804,0.155277959103749,0.179034535261907,0.120208025985893,0.0891994175016581,0.096574101537799
"Río, vertiente, lago o estero",Nacional,0.0992751540185114,0.129371220189391,0.0605267392878903,0.0749575403473798,0.0894924871054156,0.0678922865192643,0.0510181201069059,0.0554223622609947
Camión aljibe,Nacional,0.066422104912228,0.058206346868024,0.0413002796437056,0.0691385189267378,0.072906314759265,0.0725234501177976,0.093860520465236,0.202252797301332
Otra fuente,Nacional,0.0261596446719395,0.0614812913602381,0.0244155192277076,0.00306367863231326,0.0201627439252141,0.0603655714323083,0.0332926825755891,0.0594304204694166
Población expandida
Categoría,Desagregación,2009,2011,2013,2015,2017,2020,2022,2024
Red pública con medidor propio,Nacional,4324560,4436868,4666145,4872322,5059697,5835840,6154032,6286922
Red pública con medidor compartido,Nacional,130076,329932,439642,466370,555602,375814,366818,361489
Red pública sin medidor,Nacional,50796,22322,46720,42727,33194,25423,45470,44692
Pozo o noria,Nacional,180427,185394,179274,169205,211228,211289,217790,240460
"Río, vertiente, lago o estero",Nacional,74621,79180,50678,56099,74812,71194,84006,83846
Camión aljibe,Nacional,17610,20352,25014,33780,52921,59418,106880,106460
Otra fuente,Nacional,7172,23846,11840,401,9348,55913,23097,19302
Casos muestrales
Categoría,Desagregación,2009,2011,2013,2015,2017,2020,2022,2024
Red pública con medidor propio,Nacional,56238,48653,55476,68743,58073,53604,60027,67011
Red pública con medidor compartido,Nacional,1758,3411,4420,6124,5353,3514,3606,3891
Red pública sin medidor,Nacional,1327,380,833,951,516,284,552,518
Pozo o noria,Nacional,7269,3622,3742,5025,3819,2831,3825,3657
"Río, vertiente, lago o estero",Nacional,4047,2189,1395,2070,1907,1240,1953,1756
Camión aljibe,Nacional,667,517,608,958,1095,822,1759,1608
Otra fuente,Nacional,154,312,235,16,173,613,334,213
"Fuente: Ministerio de Desarrollo Social y Familia, Encuesta Casen."
