Indice,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Distribución de los hogares según situación de tenencia de vivienda por lugar de nacimiento (2006-2024),,,,,,,,,,
"(Porcentaje, hogares)",,,,,,,,,,
,,,,,,,,,,
Estimación,,,,,,,,,,
Categoría,Desagregación,2006.0,2009.0,2011.0,2013.0,2015.0,2017.0,2020.0,2022.0,2024.0
propia,Nacido/a en Chile,68.3833837509155,66.0832583904266,64.1528785228729,63.5378837585449,62.8003537654877,60.2426946163177,62.9663586616516,61.5260660648346,59.9641859531403
propia,Nacido/a fuera de Chile,40.3995662927628,26.9695460796356,22.401387989521,24.792243540287,19.1161319613457,10.8281180262566,12.7569600939751,11.9424872100353,14.0433102846146
arrendada,Nacido/a en Chile,16.3432776927948,17.8559646010399,17.7858397364616,19.2918375134468,20.2855736017227,20.9502905607224,21.1039125919342,21.2519556283951,22.1300736069679
arrendada,Nacido/a fuera de Chile,51.1979520320892,64.1616642475128,67.154723405838,67.2500610351562,74.3524730205536,84.2814981937408,81.6944360733032,79.1716039180756,75.7267415523529
cedida,Nacido/a en Chile,14.6644115447998,14.8758843541145,15.3445273637772,14.3443182110786,14.7324964404106,16.0039663314819,12.2905626893044,13.214735686779,13.8275995850563
cedida,Nacido/a fuera de Chile,8.34080874919891,7.85275176167488,8.86166617274284,7.27109760046005,6.02003447711468,3.72862257063389,3.39254327118397,4.06564213335514,4.63987439870834
"poseedor / ocupante irregular, usufructo u otro",Nacido/a en Chile,0.608924310654402,1.18489041924477,2.71675307303667,2.82595809549093,2.18157730996609,2.80304811894894,3.63916344940662,4.0072426199913,4.07814309000969
"poseedor / ocupante irregular, usufructo u otro",Nacido/a fuera de Chile,0.0616730190813541,1.01603902876377,1.58222410827875,0.686595449224114,0.511362170800567,1.16176148876548,2.15606093406677,4.82026524841785,5.59007413685322
,,,,,,,,,,
,,,,,,,,,,
Error estándar,,,,,,,,,,
Categoría,Desagregación,2006.0,2009.0,2011.0,2013.0,2015.0,2017.0,2020.0,2022.0,2024.0
propia,Nacido/a en Chile,0.403695460408926,0.440253131091595,0.585299404338002,0.515007367357612,0.425735302269459,0.386153138242662,0.395341357216239,0.293082487769425,0.267662806436419
propia,Nacido/a fuera de Chile,3.5316314548254,3.55709940195084,2.88384351879358,2.11541280150414,1.92181598395109,1.15657597780228,1.21675403788686,0.743664149194956,0.774760451167822
arrendada,Nacido/a en Chile,0.364318606443703,0.377393374219537,0.432087853550911,0.489103188738227,0.424059294164181,0.364161003381014,0.311266980133951,0.269172526896,0.233821081928909
arrendada,Nacido/a fuera de Chile,3.83569002151489,4.05497886240482,3.50771844387054,2.73816976696253,2.30195447802544,1.5157874673605,1.48467868566513,1.1161420494318,1.03474473580718
cedida,Nacido/a en Chile,0.288462825119495,0.289268931373954,0.4545365460217,0.33155893906951,0.238231290131807,0.321597163565457,0.284765404649079,0.176921451929957,0.173839391209185
cedida,Nacido/a fuera de Chile,1.67628955096006,1.55537948012352,1.55462166294456,2.18416675925255,0.79895406961441,0.472279079258442,0.400194292888045,0.414621131494641,0.382264843210578
"poseedor / ocupante irregular, usufructo u otro",Nacido/a en Chile,0.0796447857283056,0.0812930811662227,0.18093049293384,0.13355688424781,0.117838603910059,0.114124838728458,0.109793257433921,0.110909808427095,0.103221565950662
"poseedor / ocupante irregular, usufructo u otro",Nacido/a fuera de Chile,0.0300775573123246,0.482586910948157,0.609194347634912,0.233743968419731,0.19005696522072,0.245167827233672,0.482350727543235,0.647804792970419,0.724488543346524
,,,,,,,,,,
,,,,,,,,,,
Población expandida,,,,,,,,,,
Categoría,Desagregación,2006.0,2009.0,2011.0,2013.0,2015.0,2017.0,2020.0,2022.0,2024.0
propia,Nacido/a en Chile,2980269.0,3081438.0,3170366.0,3310944.0,3390120.0,3361605.0,3756184.0,3867248.0,3885287.0
propia,Nacido/a fuera de Chile,21617.0,19085.0,22200.0,33473.0,37308.0,38046.0,63925.0,75568.0,87198.0
arrendada,Nacido/a en Chile,712269.0,832617.0,878957.0,1005293.0,1095066.0,1169048.0,1258929.0,1335801.0,1433884.0
arrendada,Nacido/a fuera de Chile,27395.0,45404.0,66551.0,90797.0,145110.0,296134.0,409370.0,500971.0,470204.0
cedida,Nacido/a en Chile,639101.0,693657.0,758310.0,747479.0,795297.0,893038.0,733179.0,830618.0,895938.0
cedida,Nacido/a fuera de Chile,4463.0,5557.0,8782.0,9817.0,11749.0,13101.0,17000.0,25726.0,28810.0
"poseedor / ocupante irregular, usufructo u otro",Nacido/a en Chile,26538.0,55251.0,134259.0,147260.0,117767.0,156413.0,217090.0,251877.0,264237.0
"poseedor / ocupante irregular, usufructo u otro",Nacido/a fuera de Chile,33.0,719.0,1568.0,927.0,998.0,4082.0,10804.0,30501.0,34710.0
,,,,,,,,,,
,,,,,,,,,,
Casos muestrales,,,,,,,,,,
Categoría,Desagregación,2006.0,2009.0,2011.0,2013.0,2015.0,2017.0,2020.0,2022.0,2024.0
propia,Nacido/a en Chile,51665.0,48747.0,38460.0,42899.0,53984.0,43360.0,37949.0,42485.0,45568.0
propia,Nacido/a fuera de Chile,247.0,214.0,263.0,369.0,438.0,427.0,540.0,605.0,762.0
arrendada,Nacido/a en Chile,7744.0,7794.0,8594.0,10271.0,12700.0,11409.0,10513.0,11353.0,13284.0
arrendada,Nacido/a fuera de Chile,201.0,237.0,505.0,655.0,1006.0,1681.0,2358.0,2958.0,3484.0
cedida,Nacido/a en Chile,12951.0,12887.0,8971.0,9538.0,12899.0,11003.0,7582.0,10276.0,10984.0
cedida,Nacido/a fuera de Chile,121.0,107.0,128.0,158.0,170.0,223.0,194.0,328.0,361.0
"poseedor / ocupante irregular, usufructo u otro",Nacido/a en Chile,460.0,978.0,1698.0,2030.0,2112.0,2085.0,2269.0,3069.0,3413.0
