"=HYPERLINK(""#'Indice'!A1"",""Indice"")"
Distribución de los hogares según situación de tenencia de vivienda (2006-2024)
"(Porcentaje, hogares)"
Estimación
Categoría,Desagregación,2006,2009,2011,2013,2015,2017,2020,2022,2024
propia,Nacional,68.0674574982916,65.4820154047992,63.3135761551731,62.5662161157504,61.3108289026014,57.3745419526215,59.208538731877,57.0247065879233,55.9574592292415
arrendada,Nacional,16.7602698733231,18.5790663081771,18.759001266013,20.4760384135103,22.1529563346584,24.6730352856125,25.6911435870517,26.5206392655828,26.8110479225543
cedida,Nacional,14.5721303617418,14.7508328697572,15.2491401351225,14.1762396975887,14.4096407242527,15.2609098557424,11.5924730127827,12.3762716500052,13.0141081600874
"poseedor / ocupante irregular, usufructo u otro",Nacional,0.600142266643437,1.1880854172666,2.67828244369145,2.78150577315057,2.12657403848745,2.69151290602363,3.50784466828861,4.07838249648869,4.2173846881168
Error estándar
Categoría,Desagregación,2006,2009,2011,2013,2015,2017,2020,2022,2024
propia,Nacional,0.413417786138277,0.447881097024031,0.59946475347353,0.500705529638416,0.467838051492276,0.514051216473854,0.434585488491356,0.333807319282406,0.276349703478894
arrendada,Nacional,0.384796205226572,0.394651325027615,0.473432155088281,0.462252939069707,0.481659807790508,0.526495575529434,0.454586127217299,0.354330305101257,0.259792250971314
cedida,Nacional,0.286854638828271,0.286008478704068,0.446300778005304,0.322971037530476,0.237728965063735,0.293835643781115,0.272644494935052,0.168236821300579,0.162929019323949
"poseedor / ocupante irregular, usufructo u otro",Nacional,0.0783567691757931,0.08063692069546,0.177845666121622,0.132003000683883,0.112962771737047,0.110495171989262,0.110893329442369,0.123639361882193,0.123765479616534
Población expandida
Categoría,Desagregación,2006,2009,2011,2013,2015,2017,2020,2022,2024
propia,Nacional,3016148,3133486,3227659,3391525,3458485,3441177,3928647,3990642,3997137
arrendada,Nacional,742667,889057,956314,1109944,1249627,1479825,1704677,1855939,1915159
cedida,Nacional,645708,705866,777385,768451,812834,915310,769192,866103,929620
"poseedor / ocupante irregular, usufructo u otro",Nacional,26593,56853,136536,150777,119958,161430,232755,285409,301255
Casos muestrales
Categoría,Desagregación,2006,2009,2011,2013,2015,2017,2020,2022,2024
propia,Nacional,52107,49305,39028,43794,54794,44232,39453,43492,46577
arrendada,Nacional,7967,8095,9161,11053,13802,13211,13102,14443,16836
cedida,Nacional,13115,13063,9172,9793,13142,11324,7946,10692,11396
"poseedor / ocupante irregular, usufructo u otro",Nacional,469,997,1723,2085,2149,2181,2410,3429,3845
"Fuente: Ministerio de Desarrollo Social y Familia, Encuesta Casen."
